# Chimera Neural Network - Saved Model
# W, layer, from, to, weight
# B, layer, neuron, bias
W,0,0,0,-0.27699614
W,0,0,1,0.00442595
W,0,0,2,-0.21873683
W,0,0,3,0.33841854
W,0,0,4,-0.12152935
W,0,0,5,0.09263710
W,0,0,6,0.06162514
W,0,0,7,0.09522139
W,0,0,8,-0.03779969
W,0,0,9,-0.22921202
W,0,0,10,0.31641969
W,0,0,11,-0.04397446
W,0,0,12,-0.23294939
W,0,0,13,-0.23118407
W,0,0,14,-0.21880341
W,0,0,15,-0.03080833
W,0,0,16,-0.00170796
W,0,0,17,-0.14115074
W,0,0,18,-0.10837631
W,0,0,19,0.01156000
W,0,0,20,-0.24138087
W,0,0,21,0.24526086
W,0,0,22,0.16101457
W,0,0,23,-0.12152008
W,0,0,24,0.06566487
W,0,0,25,-0.37707019
W,0,0,26,0.12612134
W,0,0,27,-0.46751088
W,0,0,28,-0.04541296
W,0,0,29,0.05437922
W,0,0,30,-0.15898898
W,0,0,31,-0.12589049
W,0,0,32,0.20774807
W,0,0,33,0.03781717
W,0,0,34,0.32646054
W,0,0,35,-0.25008848
W,0,0,36,0.32361639
W,0,0,37,-0.10213582
W,0,0,38,-0.42838189
W,0,0,39,0.32886773
W,0,0,40,-0.04631045
W,0,0,41,0.01675843
W,0,0,42,-0.03778109
W,0,0,43,-0.10041150
W,0,0,44,0.13737966
W,0,0,45,0.12020737
W,0,0,46,-0.21227652
W,0,0,47,-0.08242644
W,0,0,48,0.13199945
W,0,0,49,0.06911744
W,0,0,50,0.18254253
W,0,0,51,-0.04916975
W,0,0,52,0.18508567
W,0,0,53,0.05502673
W,0,0,54,0.10560083
W,0,0,55,-0.17461371
W,0,0,56,0.01725739
W,0,0,57,-0.00309660
W,0,0,58,-0.15270498
W,0,0,59,0.14337943
W,0,0,60,0.03624849
W,0,0,61,0.04729851
W,0,0,62,0.03200578
W,0,0,63,0.03175708
W,0,0,64,-0.03881320
W,0,0,65,0.02503072
W,0,0,66,-0.17026907
W,0,0,67,-0.06706874
W,0,0,68,0.15943238
W,0,0,69,0.10988075
W,0,0,70,-0.30040231
W,0,0,71,-0.06005960
W,0,0,72,0.13674252
W,0,0,73,0.34750676
W,0,0,74,0.13554291
W,0,0,75,0.32724258
W,0,0,76,-0.12805849
W,0,0,77,0.44231489
W,0,0,78,0.08155257
W,0,0,79,0.02723567
W,0,0,80,0.03346916
W,0,0,81,-0.13947338
W,0,0,82,0.05976574
W,0,0,83,-0.03215196
W,0,0,84,-0.04157526
W,0,0,85,-0.04966410
W,0,0,86,0.16370668
W,0,0,87,-0.56476486
W,0,0,88,0.11995830
W,0,0,89,0.17793265
W,0,0,90,-0.13630345
W,0,0,91,0.16015269
W,0,0,92,-0.34841856
W,0,0,93,0.01733125
W,0,0,94,-0.09997679
W,0,0,95,-0.21190019
W,0,0,96,0.26834786
W,0,0,97,-0.14966477
W,0,0,98,0.15928277
W,0,0,99,-0.17095475
W,0,0,100,0.08300707
W,0,0,101,0.15525146
W,0,0,102,0.18817614
W,0,0,103,0.13486771
W,0,0,104,0.32537115
W,0,0,105,-0.01854026
W,0,0,106,0.14209187
W,0,0,107,-0.07167154
W,0,0,108,-0.15975831
W,0,0,109,0.14990747
W,0,0,110,-0.05224351
W,0,0,111,0.03350689
W,0,0,112,0.08450505
W,0,0,113,-0.27542335
W,0,0,114,0.10711245
W,0,0,115,-0.01947982
W,0,0,116,-0.04618160
W,0,0,117,-0.02478163
W,0,0,118,-0.00459670
W,0,0,119,-0.23200171
W,0,0,120,-0.38810718
W,0,0,121,0.25470141
W,0,0,122,0.17355999
W,0,0,123,-0.23948573
W,0,0,124,-0.06876436
W,0,0,125,0.04306038
W,0,0,126,-0.31279546
W,0,0,127,-0.03755518
W,0,1,0,0.17743492
W,0,1,1,-0.26653889
W,0,1,2,-0.16146564
W,0,1,3,-0.32171965
W,0,1,4,0.11759239
W,0,1,5,-0.30421919
W,0,1,6,0.04160124
W,0,1,7,0.28491467
W,0,1,8,0.02945842
